Game,Console,Developer,Country

A Plague Tale: Innocence,PS5,Asobo Studio,France
Apex Legends,PS5,Respawn Entertainment,USA
Art of Rally,PS5,Funselektor Labs Inc,Canada
Assassin's Creed Valhalla: Ultimate Edition,PS5,Ubisoft Montreal,Canada
Astro's Playroom,PS5,Team Asobi,Japan
AWAY: The Survival Series,PS5,Breaking Walls,Canada
Axiom Verge 2,PS5,Thomas Happ Games,USA
Battlefield 2042,PS5,EA DICE,Sweden
Biomutant,PS5,Experiment 101,Sweden
BloodRayne: ReVamped,PS5,Terminal Reality,USA
BloodRayne 2: ReVamped,PS5,Terminal Reality,USA
Borderlands 3,PS5,Gearbox Software,USA
Bugsnax,PS5,Young Horses,USA
Can't Drive This,PS5,Pixel Maniacs,Germany
Chicken Police: Paint It Red,PS5,The Wild Gentlemen,Hungary
Chicory: A Colorful Tale,PS5,Greg Lobanov,USA
Cloudpunk,PS5,Ion Lands,Germany
Concept Destruction,PS5,Thinice Games,Spain
Crash Bandicoot 4: It's About Time,PS5,Toys for Bob,USA
Cult of the Lamb,PS5,Massive Monster,Australia
Cyberpunk 2077,PS5,CD Projekt Red,Poland
Deep Rock Galactic,PS5,Ghost Ship Games,Denmark
Destiny 2,PS5,Bungie,USA
Destroy All Humans 2: Reprobed (2022),PS5,Black Forest Games,Germany
DIRT 5,PS5,Codemasters,England
Disney Dreamlight Valley,PS5,Gameloft,France
Evil Inside,PS5,JanduSoft S.L,Spain
F1 2021,PS5,Codemasters,England
F1 Manager,PS5,Frontier Developments,England
Fall Guys: Ultimate Knockout,PS5,Mediatonic,England
Far Cry 6: Gold Edition,PS5,Ubisoft Toronto,Canada
FIFA 21,PS5,EA Vancouver,Canada
FIFA 22,PS5,EA Vancouver,Canada
Final Fantasy VII (2021),PS5,Square Enix,Japan
First Class Trouble,PS5,Invisible Walls,Denmark
Fortnite,PS5,Epic Games,USA
Genshin Impact,PS5,miHoYo,China
Ghostrunner,PS5,Slipgate Ironworks,Denmark
Ghostwire: Tokyo,PS5,Tango Gameworks,Japan
Godfall,PS5,Counterplay Games,USA
Grand Theft Auto V,PS5,Rockstar North,Scotland
Heavenly Bodies,PS5,2pt Interactive,Australia
Hell Let Loose,PS5,Black Matter Games,Australia
Hogwarts Legacy,PS5,Avalanche Software,USA
Horizon Forbidden West,PS5,Guerrilla Games,Netherlands
Hot Wheels Unleashed,PS5,Milestone,Italy
Human Fall Flat,PS5,No Brakes Games,Lithuania
In Rays of the Light,PS5,Sergey Noskov,Russia
Infliction: Extended Cut,PS5,Caustic Reality,Australia
It Takes Two,PS5,Hazelight Studios,Sweden
Judgment,PS5,Ryu Ga Gotoku,Japan
Kena: Bridge of Spirits,PS5,Ember Lab,USA
Kerbal Space Program: Enhanced Edition,PS5,Squad,Mexico
Klonoa Phantasy Reverie Series (2022),PS5,Namco,Japan
Knockout City,PS5,Velan Studios,USA
Maneater,PS5,Tripwire Interactive,USA
Maquette,PS5,Graceful Decay,USA
Marvel's Spider-Man: Miles Morales,PS5,Insomniac Games,USA
Metro Exodus,PS5,4A Games,Ukraine
Nickelodeon All Stars Brawl,PS5,Ludosity,Sweden
Nioh 2,PS5,Team Ninja,Japan
No Man's Sky,PS5,Hello Games,England
Oddworld: Soulstorm (2021),PS5,Oddworld Inhabitants,USA
OlliOlli World,PS5,Roll7,England
One Escape,PS5,BUG-Studio,Russia
Overcooked: All You Can Eat Edition,PS5,Ghost Town Games,England
Ovivo,PS5,IzHard,Russia
Planet Coaster,PS5,Frontier Developments,England
Potion Permit,PS5,MassHive Media,Indonesia
Ratchet & Clank: Rift Apart,PS5,Insomniac Games,USA
Resident Evil 2 (2019),PS5,Capcom,Japan
Resident Evil 3 (2020),PS5,Capcom,Japan
Resident Evil 7: Biohazard,PS5,Capcom,Japan
Resident Evil Village,PS5,Capcom,Japan
Returnal,PS5,Housemarque,Finland
Rogue Company,PS5,First Watch Games,USA
Rustler,PS5,Jutsu Games,Poland
Sackboy: A Big Adventure,PS5,Sumo Digital,England
Saints Row The Third: Remastered,PS5,Deep Silver Volition,USA
